2024-09-05 00:55:40,101 I(5026|5091)[ME2147483646]release
2024-09-05 00:55:42,277 I(5026|5050)[SP_KPI][Media][OPEN_CAMERA]: 1100ms
2024-09-05 00:55:48,153 I(5026|5748)[ME10]release
2024-09-05 00:55:48,172 I(5026|5748)[ME1]release
2024-09-05 00:55:48,198 I(5026|5748)[ME2]release
2024-09-05 00:55:48,212 I(5026|5748)[ME3]release
2024-09-05 00:55:48,226 I(5026|5748)[ME4]release
2024-09-05 00:55:48,248 I(5026|5069)[ME5]release
2024-09-05 00:55:48,273 I(5026|5069)[ME6]release
2024-09-05 00:55:48,291 I(5026|5069)[ME8]release
2024-09-05 00:55:48,361 I(5026|5748)[ME1]stop
2024-09-05 00:55:48,365 I(5026|5748)[SP_KPI][Media][STOP_PLAYER][MAINTENANCE_MEDIA] begin
2024-09-05 00:55:48,367 I(5026|5069)[ME1]release
2024-09-05 00:55:48,367 I(5026|5069)[SP_KPI][Media][RELEASE_PLAYER][MAINTENANCE_MEDIA] begin
2024-09-05 00:57:56,442 I(5026|5748)[SP_KPI][Media][OPEN_CAMERA]: 29ms
2024-09-05 00:59:22,385 I(5026|6648)[SP_KPI][Media][START_RECORDER][MAINTENANCE_MEDIA] begin
2024-09-05 00:59:22,555 I(5026|6648)[SP_KPI][Media][START_RECORDER] end
2024-09-05 00:59:22,670 I(5026|6648)[SP_KPI][Media][OPEN_CAMERA]: 76ms
2024-09-05 00:59:26,627 I(5026|5425)[SP_KPI][Media][STOP_RECORDER][MAINTENANCE_MEDIA] begin
2024-09-05 01:02:36,492 I(5026|6648)[SP_KPI][Media][OPEN_CAMERA]: 27ms
2024-09-08 11:34:12,859 I(3834|4051)[ME2147483646]release
2024-09-08 11:34:14,097 I(3834|3867)[SP_KPI][Media][OPEN_CAMERA]: 1087ms
2024-09-08 11:34:15,248 I(3834|3851)[ME10]release
2024-09-08 11:34:15,270 I(3834|3867)[ME1]release
2024-09-08 11:34:15,286 I(3834|3867)[ME2]release
2024-09-08 11:34:15,304 I(3834|3867)[ME3]release
2024-09-08 11:34:15,305 I(3834|3851)[SP_KPI][Media][OPEN_CAMERA]: 50ms
2024-09-08 11:34:15,323 I(3834|3867)[ME4]release
2024-09-08 11:34:15,339 I(3834|3851)[ME5]release
2024-09-08 11:34:15,368 I(3834|3851)[ME6]release
2024-09-08 11:34:15,389 I(3834|3867)[ME8]release
2024-09-08 11:34:15,442 I(3834|3851)[ME1]stop
2024-09-08 11:34:15,445 I(3834|3850)[ME1]release
2024-09-08 11:38:02,675 I(3834|4074)[SP_KPI][Media][OPEN_CAMERA]: 27ms
2024-09-08 13:52:32,773 I(3704|3767)[ME2147483646]release
2024-09-08 13:52:34,197 I(3704|3731)[SP_KPI][Media][OPEN_CAMERA]: 1218ms
2024-09-08 13:52:35,067 I(3704|4249)[SP_KPI][Media][OPEN_CAMERA]: 45ms
2024-09-08 13:52:36,533 I(3704|3731)[ME10]release
